source	run	sample	experiment	library_name	library_strategy	library_selection	library_source	library_layout	insert_size
PRJNA192205_runinfo.csv	SRR11824113	S_Up_H03	SRX8374585	ps_024_006/r54032_20170907_124510/3_C01	WGS	RANDOM	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR11824114	S_Up_H03	SRX8374584	ps_024_006/r54032_20170907_124510/1_A01	WGS	RANDOM	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR11824115	S_Up_H03	SRX8374583	ps_024_006/r54032_20170901_131451/4_D01	WGS	RANDOM	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR11824117	S_Up_H03	SRX8374581	ps_024_006/r54032_20170901_131451/3_C01	WGS	RANDOM	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR11824119	D_Ra_C05	SRX8374579	ps_024_021/r54032_20171009_123736/4_D01	WGS	RANDOM	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR11824120	D_Ra_C05	SRX8374578	ps_024_021/r54032_20171009_123736/3_C01	WGS	RANDOM	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR11824121	D_Ra_C05	SRX8374577	ps_024_021/r54032_20171009_123736/1_A01	WGS	RANDOM	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR11824122	D_Ra_C05	SRX8374576	ps_024_021/r54032_20171004_124542/8_H01	WGS	RANDOM	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR11824123	D_Ra_C16	SRX8374575	ps_024_002/r54032_20170913_124534/2_B01	WGS	RANDOM	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR11824134	D_Ko_C15	SRX8374564	ps_024_008/r54032_20170920_114839/7_G01	WGS	RANDOM	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR11824124	D_Ra_C16	SRX8374574	ps_024_002/r54032_20170913_124534/4_D01	WGS	RANDOM	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR11824125	D_Ra_C16	SRX8374573	ps_024_002/r54032_20170913_124534/5_E01	WGS	RANDOM	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR11824126	D_Ra_C16	SRX8374572	ps_024_002/r54032_20170913_124534/3_C01	WGS	RANDOM	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR11824128	D_Ra_C16	SRX8374570	ps_024_002/r54032_20170913_124534/1_A01	WGS	RANDOM	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR11824172	D_Ko_C04	SRX8374526	pb_375_004_run2_A02_1	WGS	RANDOM	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR11824135	D_Ko_C15	SRX8374563	ps_024_008/r54032_20170920_114839/6_F01	WGS	RANDOM	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR11824136	D_Ko_C15	SRX8374562	ps_024_008/r54032_20170920_114839/4_D01	WGS	RANDOM	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR11824137	D_Ko_C15	SRX8374561	ps_024_008/r54032_20170920_114839/5_E01	WGS	RANDOM	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR11824139	D_Ko_C15	SRX8374559	ps_024_008/r54032_20170920_114839/3_C01	WGS	RANDOM	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR2107364	D_Ra_C05_Bp	SRX1101152	RNA_155	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0
PRJNA192205_runinfo.csv	SRR2107367	Pl_Wa_H23_E	SRX1101160	RNA_157	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0
PRJNA192205_runinfo.csv	SRR2107362	S_Up_H09_Bp	SRX1101143	RNA_154	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0
PRJNA192205_runinfo.csv	SRR2107373	S_Up_H32_Bf	SRX1101170	RNA_148	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0
PRJNA192205_runinfo.csv	SRR5264116	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5264117	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5264145	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5264160	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5279887	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5279888	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296231	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296232	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296233	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296234	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296235	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296236	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296237	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296238	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296239	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296240	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296241	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296242	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296243	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296244	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296245	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296246	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296247	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296248	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
